Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,A*,Large(50x50),Large(20%),3.035,298,54,21120
1,A*,Large(50x50),Large(20%),5.080,406,54,25920
1,A*,Large(50x50),Large(20%),4.675,279,54,20112
1,A*,Large(50x50),Large(20%),8.835,614,57,35952
1,A*,Large(50x50),Large(20%),4.025,447,55,28224
1,A*,Large(50x50),Large(20%),4.755,405,55,25776
1,A*,Large(50x50),Large(20%),11.210,597,57,33616
1,A*,Large(50x50),Large(20%),6.810,320,55,22512
1,A*,Large(50x50),Large(20%),3.365,339,54,23184
1,A*,Large(50x50),Large(20%),3.895,363,55,24000
1,A*,Large(50x50),Large(20%),4.750,448,55,28944
1,A*,Large(50x50),Large(20%),6.685,447,55,28080
1,A*,Large(50x50),Large(20%),3.280,340,54,23136
1,A*,Large(50x50),Large(20%),5.435,445,56,29328
1,A*,Large(50x50),Large(20%),5.420,447,56,27984
1,A*,Large(50x50),Large(20%),2.735,263,54,19680
1,A*,Large(50x50),Large(20%),5.885,556,56,33072
1,A*,Large(50x50),Large(20%),4.960,410,55,26208
1,A*,Large(50x50),Large(20%),6.445,538,56,33360
1,A*,Large(50x50),Large(20%),6.445,1998,NULL,33360
1,A*,Large(50x50),Large(20%),4.190,379,54,24624
1,A*,Large(50x50),Large(20%),6.695,458,54,27984
1,A*,Large(50x50),Large(20%),4.100,326,54,22944
1,A*,Large(50x50),Large(20%),4.555,422,55,27024
1,A*,Large(50x50),Large(20%),5.300,429,56,26832
1,A*,Large(50x50),Large(20%),7.695,339,54,23376
1,A*,Large(50x50),Large(20%),6.765,522,56,31248
1,A*,Large(50x50),Large(20%),6.320,574,56,34272
1,A*,Large(50x50),Large(20%),5.130,473,55,28944
1,A*,Large(50x50),Large(20%),9.890,451,55,27696
