Experiment,Movement_Model,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
1,4-dir,BFS,Large(50x50),Large(20%),11.020,1978,55,tbd
1,4-dir,BFS,Large(50x50),Large(20%),12.145,2020,55,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.700,2021,52,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.380,2008,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.095,1977,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.015,1970,53,tbd
1,4-dir,BFS,Large(50x50),Large(20%),12.935,1984,55,tbd
1,4-dir,BFS,Large(50x50),Large(20%),16.160,2013,55,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.110,2008,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.950,1997,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),23.745,1994,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),13.825,2038,53,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.660,2012,53,tbd
1,4-dir,BFS,Large(50x50),Large(20%),12.470,1988,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),15.095,1972,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),14.425,1985,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),15.435,1987,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),26.770,1984,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.790,2017,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),15.685,1979,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),22.530,1949,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),13.455,2003,57,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.795,2002,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),9.640,1998,55,tbd
1,4-dir,BFS,Large(50x50),Large(20%),17.660,1996,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.135,1992,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),13.685,1991,54,tbd
1,4-dir,BFS,Large(50x50),Large(20%),10.610,1994,56,tbd
1,4-dir,BFS,Large(50x50),Large(20%),15.445,2025,53,tbd
1,4-dir,BFS,Large(50x50),Large(20%),11.850,2023,53,tbd
3,8-dir,BFS,50x50,Large(20%),12.100,2021,99,tbd
3,8-dir,BFS,50x50,Large(20%),12.545,1993,99,tbd
3,8-dir,BFS,50x50,Large(20%),12.425,1992,99,tbd
3,8-dir,BFS,50x50,Large(20%),31.505,2018,99,tbd
3,8-dir,BFS,50x50,Large(20%),9.960,1981,99,tbd
3,8-dir,BFS,50x50,Large(20%),15.980,2004,NULL,tbd
3,8-dir,BFS,50x50,Large(20%),10.845,1989,99,tbd
3,8-dir,BFS,50x50,Large(20%),0.055,1,NULL,tbd
3,8-dir,BFS,50x50,Large(20%),9.420,1968,NULL,tbd
3,8-dir,BFS,50x50,Large(20%),14.225,1980,99,tbd
3,8-dir,BFS,50x50,Large(20%),12.490,2004,99,tbd
3,8-dir,BFS,50x50,Large(20%),11.195,1992,99,tbd
3,8-dir,BFS,50x50,Large(20%),11.335,1985,99,tbd
3,8-dir,BFS,50x50,Large(20%),10.510,2003,99,tbd
3,8-dir,BFS,50x50,Large(20%),14.875,1968,99,tbd
3,8-dir,BFS,50x50,Large(20%),16.575,1966,99,tbd
3,8-dir,BFS,50x50,Large(20%),16.725,1976,99,tbd
3,8-dir,BFS,50x50,Large(20%),9.720,2010,99,tbd
3,8-dir,BFS,50x50,Large(20%),9.400,2002,99,tbd
3,8-dir,BFS,50x50,Large(20%),16.205,1973,NULL,tbd
3,8-dir,BFS,50x50,Large(20%),9.460,1996,99,tbd
3,8-dir,BFS,50x50,Large(20%),24.805,1970,99,tbd
3,8-dir,BFS,50x50,Large(20%),10.650,1974,99,tbd
3,8-dir,BFS,50x50,Large(20%),12.325,2004,99,tbd
3,8-dir,BFS,50x50,Large(20%),23.260,2027,99,tbd
3,8-dir,BFS,50x50,Large(20%),9.030,2011,99,tbd
3,8-dir,BFS,50x50,Large(20%),0.150,4,NULL,tbd
3,8-dir,BFS,50x50,Large(20%),12.040,1999,99,tbd
3,8-dir,BFS,50x50,Large(20%),8.850,1956,99,tbd
3,8-dir,BFS,50x50,Large(20%),9.475,1997,99,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),16.465,2044,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),21.855,2026,55,tbd
